stateName,white,black,asian,indigenous,other,hispanicOrLatino,notHispanicOrLatino
Alabama,67.55258608,27.18844904,1.608029323,0.76791476,2.883020796,5.255420728,94.74457927
California,48.24479777,6.622786413,18.01749411,2.333706199,24.78121551,39.40402683,60.59597317
Florida,69.06972962,18.04937309,3.578771736,0.604961105,8.697164452,26.45180859,73.54819141
Idaho,89.58770414,0.932794986,1.591789791,1.740730921,6.146980161,13.01757484,86.98242516
Kentucky,87.09827468,8.505452716,1.746680823,0.386810971,2.262780815,4.612995236,95.38700476
Maryland,52.8130538,31.96433284,7.391047005,0.616154694,7.215411663,11.81347803,88.18652197
Massachusetts,76.24978781,7.693897416,7.910450783,0.409886234,7.735977761,12.62724723,87.37275277
New York,60.45068007,16.19945029,10.48686906,0.870710987,11.99228959,19.54350446,80.45649554
Ohio,81.67499485,13.30069159,2.684897999,0.321584418,2.017831143,4.418071083,95.58192892
South Dakota,85.15884486,2.124042562,1.604281895,9.320334952,1.792495732,4.369284072,95.63071593
Texas,60.84252358,14.79689937,6.602929305,1.301690958,16.45595678,39.2572268,60.7427732
Washington,74.70086431,4.477826848,10.63671869,2.713804894,7.470785261,13.74658497,86.25341503
