stateName,abortionRate,homicideRate,drugOverdoses,suicideRate,teenPregnancyRate
Alabama,0.11959925,14.2,22.3,16,24.8
Alaska,0.173168201,7.3,22,27.5,17.7
Arizona,0.183136354,7.5,35.8,17.6,16.6
Arkansas,0.098388723,13,19.1,19,27.8
California,\N,6.1,21.8,10,11
Colorado,0.155913507,5.8,24.9,21.5,12.5
Connecticut,0.255189764,4.6,39.1,9.3,7.6
Delaware,0.296137308,9.9,47.3,12.3,14.6
Florida,0.021134555,7.8,35,13.2,15.2
Georgia,0.344541794,10.5,18,13.7,18.2
Hawaii,0.137637595,3.3,18.3,12.9,13
Idaho,0.082268232,2.5,15.9,23.2,14.6
Illinois,0.363059286,11.2,28.1,10.5,13.6
Indiana,0.112548353,9.7,36.7,15,18.7
Iowa,0.111773905,3.6,14.3,18,13.3
Kansas,0.234659006,7,17.4,18.4,18.1
Kentucky,0.081316763,9.5,49.2,17.7,23.8
Louisiana,0.174848108,19.9,42.7,13.7,25.7
Maine,0.148345627,1.6,39.7,16.4,10.6
Maryland,\N,11.4,44.6,9.2,13.1
Massachusetts,0.264483919,2.7,33.9,8.4,6.1
Michigan,0.271292071,8.7,28.6,14,13.5
Minnesota,0.174187513,3.6,19,13.1,9.1
Mississippi,0.1078588,20.5,21.1,13.9,27.9
Missouri,0.023899607,14,32.1,18.2,18.8
Montana,0.144619429,6.6,15.6,26.1,13.2
Nebraska,0.105429303,4.1,11.3,14.9,15.1
Nevada,0.271015978,7.3,26,18.2,16.8
New Hampshire,\N,0,30.3,16.4,6.6
New Jersey,0.238755671,4.3,32.1,7.1,9.2
New Mexico,0.186160994,10.8,39,24.2,21.9
New York,0.389020501,4.7,25.4,8,10
North Carolina,0.272525554,8.6,30.9,13.2,17.3
North Dakota,0.143885077,4.4,15.6,18.2,13.7
Ohio,0.170363902,9.1,47.2,13.8,17.6
Oklahoma,0.126156976,9,19.4,21.9,25
Oregon,0.205038355,3.8,18.7,18.3,10.1
Pennsylvania,0.238550455,8.5,42.4,12.6,12.6
Rhode Island,0.191273935,3,38.2,8.5,9.4
South Carolina,0.099659563,12.7,34.9,16.3,19.3
South Dakota,0.046691712,6.5,10.3,21,18.7
Tennessee,0.140634134,11.5,45.6,17.2,23.3
Texas,0.196514008,7.6,14.1,13.3,22.4
Utah,0.08931366,2.9,20.5,20.8,10.8
Vermont,0.185825337,0,32.9,18.1,7
Virginia,0.180747186,6.4,26.6,13.5,13.1
Washington,0.22402817,4.2,22,15.2,11.3
West Virginia,0.06595247,7,81.4,19.4,22.5
Wisconsin,0.110473558,6.1,27.7,14.5,11.5
Wyoming,0.005374005,4.9,17.4,30.5,18.1
